"Item Number","Description","UPC","EMUN Status","Sellable","Whse 1 QtyAvailable","Whse 2 QtyAvailable","Total QtyAvailable","New Release","Image Available","Category","Sub-Category","List Price","Price"
"29747","Deco N. Xmas MDF Wall Plaque Hanging D̩cor, cht","062823297470","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","1.35","0.945"
"29749","Deco N. Xmas MDF Gnome Wall Plaque Hanging D̩cor, cht","062823297494","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","1.35","0.945"
"29750","Deco N. Xmas MDF Elf Wall Plaque Hanging D̩cor, cht","062823297500","InActive","NO","0","0","0","","YES","Christmas","D̩cor Indoor","1.35","0.945"
"29753","Deco N. Xmas MDF Table D̩cor, Snowman, cht","062823297531","InActive","NO","0","0","0","","YES","Christmas","D̩cor Indoor","1.45","1.015"
"29759","Deco N. Xmas MDF Countdown Sign, Red, cht","062823297593","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","2.05","1.435"
"29760","DECO.N  2pk 5.5""x8"" Pink Sparkling PVC Bows, T.O.C.","062823297609","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","1.45","1.015"
"29763","DECO.N  6x10"" Pink Sparkling PVC Bow,T.O.C.","062823297630","InActive","NO","0","0","0","","YES","Christmas","Bows- Decor","1.25","0.875"
"29765","Deco N. Set/2 Die-Cut Moose Metal Buckets w/Plaid Fabric Liner, cht","062823297654","InActive","NO","0","0","0","","NO","Christmas","Baskets + Accessories","29.75","16.66"
"29766","DECO.N 9x15"" Pink Sparkling Bow,T.O.C.","062823297661","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","1.75","1.225"
"29782","DECO.N Deluxe 11""X11"" Velvet Sponge Bow,Green, t.o.c","062823297821","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","2","1.4"
"29784","Deco N. Xmas Ornament w/Berries, 3.15"", cht","062823297845","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","0.9","0.9"
"29787","Deco N. Xmas Ornament w/Berries, 4"", cht","062823297876","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","1.5","1.5"
"29789","Deco N. Xmas Ornament, 4"", cht","062823297890","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","1.5","1.5"
"29792","Deco N. Xmas Ornament, 3.15"", cht","062823297920","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","1.05","1.05"
"29795","Deco N. Xmas Light-Up Ornamenet, 4"", cht","062823297951","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","2.05","2.05"
"29812","Deco N. Xmas Bow D̩cor, 9.25x13"", t.o.c","062823298125","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","5","5"
"29813","Deco.N 3pk 5x4.5"" Jute/Plaid Bow D̩cor,T.O.C.","062823298132","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","2","2"
"29814","Deco N. Xmas 2pk Bow D̩cor, 4.75"", Silver, t.o.c","062823298149","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","1.35","1.35"
"29815","DECO.N 2pk 5X5"" Glittery  Gold Fabric Bow, T.O.C.","062823298156","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","1.35","1.35"
"29817","Deco N.  2pk 4.5x5.5"" Cream Velvet Bow Decor, t.o.c","062823298170","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","1","1"
"29818","Deco N.  2pk 4.5x5.5"" Pink Velvet bow Decort.o.c","062823298187","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","0.9","0.9"
"29822","DECO.N  9x11"" Velvet Bow D̩cor,T.O.C.","062823298224","InActive","NO","0","0","0","","YES","Christmas","Bows- Decor","1.2","1.2"
"29826","Deco N. 9X11"" Silver Herringbone Chevron Fabric Bow D̩cor,T.O.C.","062823298262","InActive","NO","0","0","0","","YES","Christmas","Bows- Decor","1","1"
"29837","Deco N. 2pk 4.5x5.5"" Herringbone Chervon Pink Fabric Bow Decor,","062823298378","InActive","NO","0","0","0","","YES","Christmas","Bows- Decor","0.85","0.85"
"29846","Deco N. LED Light-Up Xmas Tree, 17.5"", Snow Tipped, cht","062823298460","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","6.95","6.95"
"29849","Deco N. LED Light-Up Xmas Tree, 23"", Snow Tipped, cht","062823298491","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","10","10"
"29856","Deco N. LED Light-Up Xmas Tree, 27"", Snow Tipped, cht","062823298569","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","12.95","12.95"
"29858","Deco N. Xmas Bow D̩cor, 9x11"", White, t.o.c","062823298583","InActive","NO","0","0","0","","YES","Christmas","Bows- Decor","1.2","1.2"
"29861","S.Secrets Xmas Hat w/Polka Dot Bow Headband","062823298613","InActive","NO","0","0","0","","YES","Christmas","Costumes & Accessories","2.75","2.75"
"29872","S.Secrets Reversable Sequin Tree Party Glasses, 2c, header","062823298729","InActive","NO","0","0","0","","NO","Christmas","Costumes & Accessories","1.15","1.15"
"29895","DECO.N Deluxe 20"" Velvet Elf Leg Bow, Stuffed Feet, T.O.C.","062823298958","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","5","5"
"29901","Deco N. 45mm Water Ball D̩cor, 12/dsp","062823299016","InActive","NO","0","0","0","","YES","Christmas","Water Balls","2.65","2.65"
"29906","Deco N. Gingerbread Man Decoration Plush, 17x19x3"", cht","062823299061","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","16","11.2"
"29944","Deco N. Xmas Bow D̩cor, 9x11"", Gold, t.o.c","062823299443","InActive","NO","0","0","0","","NO","Christmas","Bows- Decor","1.2","1.2"
"29945","Deco N. Xmas Candy Ornament, Red, Gold, 2.35x4"", 2/c, cht","062823299450","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","1.3","1.3"
"29948","S.Secrets Acacia Wood Snacks Serving Tray, 7x14"", cht","062823299481","InActive","NO","0","0","0","","NO","Christmas","Kitchenware & Tableware","10","10"
"29949","S.Secrets Gingerbread House Cookie Jar, Dolomite, upc brown box","062823299498","InActive","NO","0","0","0","","NO","Christmas","Kitchenware & Tableware","15","10.5"
"29966","Deco N. Artificial Plant, Elf, cht","062823299665","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","6.2","4.34"
"29971","S.Secrets Xmas Window Clings, Glitter, 8x21"", header","062823299719","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","1.15","1.15"
"29972","Deco N.5.3""  Plastic Candy Cane Ornaments,Pink, UPC","062823299726","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","1","1"
"29973","X'mas, 40oz Double Wall SS Tumbler w/ Plastic Liner & Straw, 2/s, tag","062823299733","InActive","NO","0","0","0","","NO","Christmas","Party/ Baking Supplies","8.9","8.9"
"30008297","Fun Dip Valentines Candy & Card Kit, 24pk/box","079200082970","InActive","NO","0","0","0","","YES","Valentine's Day","Confectionery","12","12"
"30136","O.WKs.  Multi-Purpose Label, 12sh, 48pcs 50x75mm,PBH","062823301368","Inactive","NO","0","0","0","","YES","Stationery","Labels & Tags","0.59","0.59"
"30169DC-12","Desk Tech 3/4"" Binder Clips,40-pc Pack of 12","060107003168","Inactive","NO","0","0","0","","NO","Stationery","Clips & Pins","17.4","17.4"
"30367","O.WKs.  Round Label, 840pcs, 13mm dia, PBH","062823303676","Inactive","NO","0","0","0","","YES","Stationery","Labels & Tags","0.59","0.59"
"30723","KD.Kr.  12 Water Color Paints w/  Brush, shrink wrap","062823307230","Inactive","NO","0","0","0","","NO","Stationery","Crayons & Paints","1.3","1.3"
"30868","O.Ws, 50sheet Diecut Sticky notes 2-pack 76x76mm, b/c","062823308688","Inactive","NO","0","0","0","","YES","Stationery","Notebooks & Diaries","0.7","0.7"
"30919P","Palmer Heats Mc Flavor,128g 24/PDQ","041269309190","InActive","NO","0","0","0","","YES","Valentine's Day","Confectionery","2.5","2.5"
"30999","O.WKs. 4x5.5"" White Board w/Mker, 2 col. 24/PDQ","062823309999","Inactive","NO","0","0","0","","NO","Stationery","Whiteboard","0.68","0.68"
"31010","Paper T. Xmas Gift Bag, Small, Matte+HS, j-hook + tag, 210gsm","062823310100","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.45","0.45"
"31011","Paper T. Xmas Gift Bag, Medium, Matte+HS, j-hook + tag, 210gsm","062823310117","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.65","0.65"
"31024","Paper T. Xmas Gift Bag, Large, Matte+Glitter, j-hook + tag, 210gsm","062823310247","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.9","0.9"
"31033","Paper T. Xmas Gift Bag, Large, Matte, j-hook + tag, 210gsm","062823310339","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31044","Deco N. 15""H Standing Snowman D̩cor , 2/S, cht","062823310445","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","13","13"
"31045","Paper T. Xmas Gift Bag, Large, Matte+HS, j-hook + tag, 157gsm10.25""x12.6""x4.7""","062823310452","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.95","0.95"
"31048","Paper T. Xmas Gift Bag, Jumbo, Matte+HS, j-hook + tag, 210gsm","062823310483","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
"31082","Paper T. Xmas Gift Bag, Medium, Matte, j-hook + tag, 210gsm","062823310827","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31083","Paper T. Xmas Gift Bag, Large, Matte, j-hook + tag, 210gsm","062823310834","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31096","Paper T. Xmas Gift Bag, Medium, Matte+Glitter, j-hook + tag, 210gsm","062823310964","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.65","0.65"
"31097","Paper T. Xmas Gift Bag, Large, Matte+Glitter, j-hook + tag, 210gsm","062823310971","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.9","0.9"
"31098","Paper T. Xmas Gift Bag, Jumbo, Matte+Glitter, j-hook + tag, 210gsm","062823310988","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
"31104","Paper T. Xmas Gift Bag, Medium, Matte+Glitter, j-hook + tag, 210gsm","062823311046","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.65","0.65"
"31105","Paper T. Xmas Gift Bag, Large, Matte+Glitter, j-hook + tag, 210gsm","062823311053","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.9","0.9"
"31113","Paper T. Xmas Bottle Bag, Matte+Glitter,j-hook+tag,210gsm","062823311138","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31115","Paper T. Xmas Bottle Bag, Matte, j-hook + tag, 157gsm","062823311152","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31120","Paper T. Xmas DLX Gift Bag, Large, Matte/Emboss/HS 210GSM, Tag+J-Hook","062823311206","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","1.05","1.05"
"31122","Paper T. Xmas DLX Gift Bag, Large, Matte/Emboss/HS 210GSM, Tag+J-Hook","062823311220","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.05","1.05"
"31123","Paper T. Xmas DLX Gift Bag, Jumbo, Matte/Emboss/HS 210GSM, Tag+J-Hook","062823311237","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","1.5","1.5"
"31124","Paper T. Xmas Large Gift Bag, Matte, 210GSM, tag+j-hook","062823311244","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31125","Paper T. Xmas Jumbo Gift Bag, Matte, 210GSM, tag+j-hook","062823311251","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.95","0.95"
"31128","Paper T. Xmas Large Gift Bag, Matte/HS, 210GSM, tag+j-hook","062823311282","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31129","Paper T. Xmas Jumbo Gift Bag, Matte/HS, 210GSM, tag+j-hook","062823311299","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
"31132","Paper T. Xmas Jumbo Gift Bag, Matte/HS, 210GSM, tag+j-hook","062823311329","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
"31133","Paper T. Xmas Medium Gift Bag, Matte/HS, 210GSM, tag+j-hook","062823311336","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31136","Paper T. Xmas Large Gift Bag, Matte/HS, 210GSM, tag+j-hook","062823311367","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31172","Deco N. Iron Deer Candle Holder, 8""H","062823311725","InActive","NO","0","0","0","","NO","Christmas","Candle Holders & Acc.","6.5","6.5"
"31174","Deco N. Glass Tree Taper Candle Holder,3.4""Dx4.3""H","062823311749","InActive","NO","0","0","0","","NO","Christmas","Candle Holders & Acc.","4.75","4.75"
"31206","Harvest Mercury Glass Globe Candle Holder, 4/s, PDQ","062823312067","InActive","NO","0","0","0","","NO","Harvest","Candles/candle holders","1.85","1.85"
"31303","Paper T. Xmas Gift Bag, Large 2/s, Galvanized-Look, j-hook + tag","062823313033","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1","1"
"31304","S.Secrets 20""Xmas Stocking w/ Silver Sequin Snowflakes, cht","062823313040","InActive","NO","0","0","0","","NO","Christmas","Stockings + Holders","5.25","5.25"
"31306","Deco N. Porcelain White House D̩cor with LED Light, 3x2.5x3.5"", box","062823313064","InActive","NO","0","0","0","","YES","Christmas","D̩cor Indoor","4.2","4.2"
"31322","Paper T. Xmas DLX Gift Bag, Medium, Kraft+HS, j-hook+tag","062823313224","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.95","0.95"
"31335","Paper T. Xmas DLX Gift Bag, Medium, Hot Stamp, j-hook+star tag","062823313354","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.05","1.05"
"31336","Paper T. Xmas DLX Gift Bag, Large, Hot Stamp, j-hook+star tag","062823313361","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","1.5","1.5"
"31338","Paper T. Xmas DLX Gift Bag, Small, Hot Stamp, j-hook+tag+tassel","062823313385","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.55","0.55"
"31339","Paper T. Xmas DLX Gift Bag, Medium, Hot Stamp, j-hook+tag+tassel","062823313392","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.9","0.9"
"31340","Paper T. Xmas DLX Gift Bag, Medium, Hot Stamp, j-hook+ tag","062823313408","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31341","Paper T. Xmas DLX Gift Bag, Large, Hot Stamp, j-hook+ tag","062823313415","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
"31342","Paper T. Xmas DLX Gift Bag, Jumbo, Hot Stamp, j-hook+ tag","062823313422","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.5","1.5"
"31356","Paper T. Xmas Bottle Bag, Matte, j-hook + tag","062823313569","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31366","Paper T. Xmas DLX Gift Bag, Medium, Hot Stamp, j-hook+ tag","062823313668","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31367","Paper T. Xmas DLX Gift Bag, Large, Hot Stamp, j-hook+ tag","062823313675","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
"31372","Paper T. Xmas DLX Gift Bag, Jumbo, Hot Stamp, j-hook+ tag","062823313729","Inactive","NO","0","0","0","","NO","Gift Bags & Wrap","Bags - Jumbo","1.5","1.5"
"31377","Paper T. Xmas DLX Bottle Bag , Matte+HS, j-hook + tag","062823313774","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.9","0.9"
"31417","Deco N. Pink Sitting Santa 31.5"",CHT","062823314177","InActive","NO","0","0","0","","YES","Christmas","D̩cor Indoor","28.5","19.95"
"31418","Deco N. Pink Snowman D̩cor wi/ Extendable Legs, 29.5/43"", cht","062823314184","InActive","NO","0","0","0","","NO","Christmas","D̩cor Indoor","38","26.6"
"31421","S.Secrets Santa Belt stocking, 19"" CHT","062823314214","InActive","NO","0","0","0","","NO","Christmas","Stockings + Holders","2","2"
"31425","S.Secrets Plush Bear Stocking, 20"", 3D Effect, cht","062823314252","InActive","NO","0","0","0","","NO","Christmas","Stockings + Holders","10.25","10.25"
"31436","Deco N. Grey Fox Velvet Tree Skirt, Faux Fur Cuff, 42"", header","062823314368","InActive","NO","0","0","0","","YES","Christmas","Trees & Tree Skirts","21.5","15.05"
"31444","Deco N. Velvet Owl Ornament, 4"" cht","062823314443","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","3.85","3.85"
"31455","Deco N. Robbin Ornament, 3"", 2/s, cht","062823314559","InActive","NO","0","0","0","","NO","Christmas","Ornaments & Holders","3.6","3.6"
"31502","Paper T. Xmas DLX Gift Bag, Merry, Large, 10.25""x12.6""x4.7"", 210gsm","062823315020","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
"31507","Paper T. Xmas DLX Gift Bag, Deer, Square Medium, HS+3D, j-hook+tag,  8""x8""x3.15"", 250gsm","062823315075","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.05","1.05"
"31514","Paper T. Xmas DLX Gift Bag, Chrismas Trees, Bottle, 4.7""x15.35""x3.5"", 180gsm","062823315143","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1","1"
"31518","Paper T. Xmas DLX Gift Bag, Gold Tree, Medium, 7""x9""x4"", 210gsm","062823315181","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31519","Paper T. Xmas DLX Gift Bag, Gold Tree, Large, 10.25""x12.6""x4.7"", 210gsm","062823315198","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
"31520","Paper T. Xmas DLX Gift Bag, Gold Tree, Bottle, 4.7""x14.15""x3.3"", 210gsm","062823315204","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.75","0.75"
"31524","Paper T. Xmas DLX Gift Bag, Birds, Medium, 7""x9""x4"", 210gsm","062823315242","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31525","Paper T. Xmas DLX Gift Bag, Birds, Large, 10.25""x12.6""x4.7"", 210gsm","062823315259","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.3","1.3"
"31526","Paper T. Xmas DLX Gift Bag, Birds, Jumbo, 12.2""x16.5""x4.7"", 210gsm","062823315266","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.45","1.45"
"31527","Paper T. Xmas DLX Gift Bag, Birds, Bottle, 4.7""x14.15""x3.3"", 210gsm","062823315273","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31532","Paper T. Xmas DLX Gift Bag, Golden Text, Medium, 7""x9""x4"", 210gsm","062823315327","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","0.75","0.75"
"31533","Paper T. Xmas DLX Gift Bag, Golden Text, Large, Kraft+HS, j-hook+tag, 10.25""x12.6""x4.7"", 210gsm","062823315334","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.05","1.05"
"31535","Paper T. Xmas DLX Gift Bag, Golden Text, Bottle, 4.7""x14.15""x3.3"", 210gsm","062823315358","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31536","Paper T. Xmas DLX Gift Bag, Golden Text, Medium, 7""x9""x4"", 210gsm","062823315365","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.75","0.75"
"31537","Paper T. Xmas DLX Gift Bag, Golden Text, Large, Kraft+HS, j-hook+tag, 10.25""x12.6""x4.7"", 210gsm","062823315372","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.05","1.05"
"31538","Paper T. Xmas DLX Gift Bag, Golden Text, Jumbo, 12.2""x16.5""x4.7"", 210gsm","062823315389","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","1.45","1.45"
"31539","Paper T. Xmas DLX Gift Bag, Golden Text, Bottle, 4.7""x14.15""x3.3"", 210gsm","062823315396","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31546","Deco Noel Gold Snowflake Taper Candle Holder, hangtag","062823315464","InActive","NO","0","0","0","","YES","Christmas","Candle Holders & Acc.","2.5","2.5"
"31561","Paper T. 2pk Angle Curly Swirl, White/GOld, card","062823315617","InActive","NO","0","0","0","","NO","Christmas","Bows/Ribbon-Giftwrapping","1.25","1.25"
"31573","Set/2 Striped Dinner Candle, 9.85"", Red/White, box","062823315730","InActive","NO","0","0","0","","YES","Christmas","Candles & Oils","2.8","2.8"
"31574","Set/2 Gold Dipped Taper Candles, 9.85"", Gold/White, box","062823315747","InActive","NO","0","0","0","","NO","Christmas","Candles & Oils","2.2","2.2"
"31579","Deco Noel Glass Candle Holder w/Laser Design, Red, 12/tray","062823315792","InActive","NO","0","0","0","","NO","Christmas","Candle Holders & Acc.","1.9","1.9"
"31598","Paper T. Xmas Gift Bag, Xmas Gifts, Horizontal Medium, Matte+Glitter, tag+j-hook 9""x7""3.9"", 210gsm","062823315983","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31599","Paper T. Xmas Gift Bag, Xmas Gifts, Horizontal Large, Matte+Glitter, tag+j-hoook 12.6""x10.2""x4.7"", 210gsm","062823315990","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31616","Paper T. Xmas Gift Bag, Gold Snowflake on Kraft, Large, Matte+HS, tag+j-hook 10.2""x12.6""x4.7"", 210gsm","062823316164","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31617","Paper T. Xmas Gift Bag, Gold Snowflake on Kraft, X-Wide Jumbo, Matte+HS, tag+j-hook, 210gsm","062823316171","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.5","1.5"
"31626","Paper T. Xmas Gift Bag, Metallic Snowflake Squares, Set/2 Small, Matte+HS, wrapband 5.5""x4.33""x2.36"", 210gsm","062823316263","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31628","Paper T. Xmas Gift Bag, Metallic Snowflake Squares, Large, Matte+HS, tag+j-hook 10.2""x12.6""x4.7"", 210gsm","062823316287","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31629","Paper T. Xmas Gift Bag, Metallic Snowflake Squares, Jumbo, Matte+HS, tag+j-hook 16.5""x12.2""x4.7"". 210gsm","062823316294","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.1","1.1"
"31630","Paper T. Xmas Gift Bag, Traditional Xmas, Large, Matte+HS, tag+j-hook 10.2""x12.6""x4.7"", 210gsm","062823316300","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31632","Paper T. Xmas Gift Bag, Gold Icons on Kraft, Large, Matte+HS, tag+j-hook 10.2""x12.6""x4.7"", 210gsm","062823316324","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31633","Paper T. Xmas Gift Bag, Gold Deer on Kraft, Medium, Matte+HS, tag+j-hook 7""x9""x3.9"", 210gsm","062823316331","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31635","Paper T. Xmas Gift Bag, Merry Xmas Blue, Medium, Matte+HS, tag+j-hook 7""x9""x3.9"", 210gsm","062823316355","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31636","Paper T. Xmas Gift Bag, Merry Xmas Blue, Large, Matte+HS, tag+j-hook 10.2""x12.6""x4.7"", 210gsm","062823316362","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31638","Paper T. Xmas Gift Bag, Cardinal w/Berries, Large, Matte+Glitter, tag+j-hook 10.2""x12.6""x4.7"", 210gsm","062823316386","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","0.85","0.85"
"31639","Paper T. Xmas Gift Bag, Santa w/Gifts, Medium, Matte+Glitter, tag+j-hook 7""x9""x3.9"", 210gsm","062823316393","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31643","Paper T. Xmas Gift Bag, Merry Xmas Stocking, Medium, Matte+Glitter, tag+j-hook 7""x9""x3.9"", 210gsm","062823316430","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31647","Paper T. Xmas Gift Bag, Penguins on Kraft, Jumbo, Matte+Glitter, tag+j-hook 16.5""x12.2""x4.7"". 210gsm","062823316478","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.1","1.1"
"31663","Paper T. Xmas Gift Bag, Metallic Snowflakes, Bottle, Matte+HS, tag+j-hook 5.12""x14.2""x3.35"", 210gsm","062823316638","InActive","NO","0","0","0","","YES","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31665","Paper T. Xmas Gift Bag, Trees w/Gold, X-Wide Bottle, Matte+HS, tag+j-hook 5.12""x13.78""x5.12"", 210gsm","062823316652","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.65","0.65"
"31667","Paper T. Xmas Gift Bag, Mirror Ball on Pink, Bottle, Matte+Glitter, tag+j-hook 5.12""x14.2""x3.35"", 210gsm","062823316676","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.6","0.6"
"31695","Paper T. 6pc Matte/Kraft 2"" Bows + 2pc Ribbon, 2/S, kraft box","062823316959","InActive","NO","0","0","0","","YES","Christmas","Bows/Ribbon-Giftwrapping","2.4","2.4"
"31708","Paper T. Xmas DLX Gift Bag, Snowglobe, Large Square, Matte, j-hook+tag 11""x11""x4"", 210gsm","062823317086","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1","1"
"31709","Paper T. Xmas DLX Gift Bag, Snowglobe, Jumbo Square, Matte, j-hook+tag 13.5""x13.5""x4.75"", 210gsm","062823317093","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.4","1.4"
"31711","Paper T. Xmas Set/4 Rect. Gift Boxes, Xmas Wishes, HS","062823317116","InActive","NO","0","0","0","","YES","Christmas","Gift Boxes","10.5","10.5"
"31714","Paper T. Xmas DLX Gift Bag, Lt. Green Tree,  Medium, HS, j-hook+tag","062823317147","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","0.8","0.8"
"31715","Paper T. Xmas DLX Gift Bag, Lt. Green Tree,  Large, HS, j-hook+tag","062823317154","InActive","NO","0","0","0","","NO","Christmas","Gift Bags/ Tissue","1.15","1.15"
